20110915T,33.0,33.0,33.0,33.0,0
20110916T,38.0,38.0,38.0,38.0,0
20110919T,39.0,39.0,39.0,39.0,0
20110920T,32.0,32.0,32.0,32.0,0
20110921T,31.0,31.0,31.0,31.0,0
20110922T,28.0,28.0,28.0,28.0,0
20110923T,28.0,28.0,28.0,28.0,0
20110926T,26.0,26.0,26.0,26.0,0
20110927T,25.0,25.0,25.0,25.0,0
20110928T,27.0,27.0,27.0,27.0,0
20110929T,23.0,23.0,23.0,23.0,0
20110930T,22.0,22.0,22.0,22.0,0
20111003T,20.0,20.0,20.0,20.0,0
20111004T,23.0,23.0,23.0,23.0,0
20111005T,27.0,27.0,27.0,27.0,0
20111006T,33.0,33.0,33.0,33.0,0
20111007T,31.0,31.0,31.0,31.0,0
20111010T,41.0,41.0,41.0,41.0,0
20111011T,41.0,41.0,41.0,41.0,0
20111012T,42.0,42.0,42.0,42.0,0
20111013T,42.0,42.0,42.0,42.0,0
20111014T,41.0,41.0,41.0,41.0,0
20111017T,48.0,48.0,48.0,48.0,0
20111018T,48.0,48.0,48.0,48.0,0
20111019T,48.0,48.0,48.0,48.0,0
20111020T,54.0,54.0,54.0,54.0,0
20111021T,66.0,66.0,66.0,66.0,0
20111024T,62.0,62.0,62.0,62.0,0
20111025T,62.0,62.0,62.0,62.0,0
20111026T,71.0,71.0,71.0,71.0,0
20111027T,67.0,67.0,67.0,67.0,0
20111028T,66.0,66.0,66.0,66.0,0
20111031T,62.0,62.0,62.0,62.0,0
20111101T,62.0,62.0,62.0,62.0,0
20111102T,62.0,62.0,62.0,62.0,0
20111103T,63.0,63.0,63.0,63.0,0
20111104T,60.0,60.0,60.0,60.0,0
20111107T,65.0,65.0,65.0,65.0,0
20111108T,65.0,65.0,65.0,65.0,0
20111109T,59.0,59.0,59.0,59.0,0
20111110T,60.0,60.0,60.0,60.0,0
20111111T,60.0,60.0,60.0,60.0,0
20111114T,54.0,54.0,54.0,54.0,0
20111115T,54.0,54.0,54.0,54.0,0
20111116T,55.0,55.0,55.0,55.0,0
20111117T,52.0,52.0,52.0,52.0,0
20111118T,46.0,46.0,46.0,46.0,0
20111121T,43.0,43.0,43.0,43.0,0
20111122T,41.0,41.0,41.0,41.0,0
20111123T,39.0,39.0,39.0,39.0,0
20111125T,51.0,51.0,51.0,51.0,0
20111128T,57.0,57.0,57.0,57.0,0
20111129T,62.0,62.0,62.0,62.0,0
20111130T,67.0,67.0,67.0,67.0,0
20111201T,61.0,61.0,61.0,61.0,0
20111202T,67.0,67.0,67.0,67.0,0
20111205T,66.0,66.0,66.0,66.0,0
20111206T,66.0,66.0,66.0,66.0,0
20111207T,66.0,66.0,66.0,66.0,0
20111208T,66.0,66.0,66.0,66.0,0
20111209T,65.0,65.0,65.0,65.0,0
20111212T,62.0,62.0,62.0,62.0,0
20111213T,56.0,56.0,56.0,56.0,0
20111214T,61.0,61.0,61.0,61.0,0
20111215T,61.0,61.0,61.0,61.0,0
20111216T,60.0,60.0,60.0,60.0,0
20111219T,74.0,74.0,74.0,74.0,0
20111220T,74.0,74.0,74.0,74.0,0
20111221T,74.0,74.0,74.0,74.0,0
20111222T,78.0,78.0,78.0,78.0,0
20111223T,77.0,77.0,77.0,77.0,0
20111227T,75.0,75.0,75.0,75.0,0
20111228T,75.0,75.0,75.0,75.0,0
20111229T,75.0,75.0,75.0,75.0,0
20111230T,75.0,75.0,75.0,75.0,0
20120103T,77.0,77.0,77.0,77.0,0
20120104T,77.0,77.0,77.0,77.0,0
20120105T,78.0,78.0,78.0,78.0,0
20120106T,78.0,78.0,78.0,78.0,0
20120109T,81.0,81.0,81.0,81.0,0
20120110T,82.0,82.0,82.0,82.0,0
20120111T,83.0,83.0,83.0,83.0,0
20120112T,83.0,83.0,83.0,83.0,0
20120113T,83.0,83.0,83.0,83.0,0
20120117T,88.0,88.0,88.0,88.0,0
20120118T,90.0,90.0,90.0,90.0,0
20120119T,89.0,89.0,89.0,89.0,0
20120120T,88.0,88.0,88.0,88.0,0
20120123T,87.0,87.0,87.0,87.0,0
20120124T,87.0,87.0,87.0,87.0,0
20120125T,84.0,84.0,84.0,84.0,0
20120126T,82.0,82.0,82.0,82.0,0
20120127T,82.0,82.0,82.0,82.0,0
20120130T,82.0,82.0,82.0,82.0,0
20120131T,85.0,85.0,85.0,85.0,0
20120201T,87.0,87.0,87.0,87.0,0
20120202T,88.0,88.0,88.0,88.0,0
20120203T,88.0,88.0,88.0,88.0,0
20120206T,88.0,88.0,88.0,88.0,0
20120207T,86.0,86.0,86.0,86.0,0
20120208T,86.0,86.0,86.0,86.0,0
20120209T,85.0,85.0,85.0,85.0,0
20120210T,83.0,83.0,83.0,83.0,0
20120213T,83.0,83.0,83.0,83.0,0
20120214T,81.0,81.0,81.0,81.0,0
20120215T,82.0,82.0,82.0,82.0,0
20120216T,81.0,81.0,81.0,81.0,0
20120217T,80.0,80.0,80.0,80.0,0
20120221T,79.0,79.0,79.0,79.0,0
20120222T,78.0,78.0,78.0,78.0,0
